Date, Open, High, Low, Close
03/18/15,17846.8,18097.12,17697.52,18076.19
03/19/15,18072.58,18072.99,17934.24,17959.03
03/20/15,17961.13,18197.29,17961.13,18127.65
03/23/15,18136.73,18205.93,18116.04,18116.04
03/24/15,18110.87,18149.24,18010.44,18011.14
03/25/15,18012.61,18041.97,17718.54,17718.54
03/26/15,17716.27,17759.51,17579.27,17678.23
03/27/15,17673.63,17729.14,17630.49,17712.66
03/30/15,17727.48,18008.64,17727.48,17976.31
03/31/15,17965.37,17965.37,17773.02,17776.12
04/01/15,17778.52,17778.52,17585.01,17698.18
04/02/15,17699.52,17815.03,17673.49,17763.24
04/06/15,17755.5,17941.79,17646.8,17880.85
04/07/15,17884.32,17983.12,17871.21,17875.42
04/08/15,17877.62,17976.2,17822.23,17902.51
04/09/15,17897.7,17984.22,17823.1,17958.73
04/10/15,17956.73,18066.76,17945.55,18057.65
04/13/15,18052.32,18107.57,17974.81,17977.04
04/14/15,17979.11,18075.6,17905.48,18036.7
04/15/15,18045.71,18160.52,18045.71,18112.61
04/16/15,18106.27,18169.26,18063.86,18105.77
04/17/15,18102.56,18102.56,17748.53,17826.3
04/20/15,17841.18,18092.22,17841.18,18034.93
04/21/15,18034.23,18109.7,17929.63,17949.59
04/22/15,17950.82,18056.02,17887.76,18038.27
04/23/15,18031.9,18133.03,17966.77,18058.69
04/24/15,18056.42,18108.87,18009.08,18080.14
04/27/15,18097.89,18175.56,18024.66,18037.97
04/28/15,18035.9,18119.65,17917.36,18110.14
04/29/15,18093.69,18096.46,17953.69,18035.53
04/30/15,18033.33,18033.33,17774.89,17840.52
05/01/15,17859.27,18028.89,17859.27,18024.06
05/04/15,18026.02,18133.76,18026.02,18070.4
05/05/15,18062.53,18086.01,17905.71,17928.2
05/06/15,17934.81,18019.75,17733.12,17841.98
05/07/15,17840.25,17973.07,17796.94,17924.06
05/08/15,17933.64,18205.23,17933.64,18191.11
05/11/15,18187.78,18199.95,18089.11,18105.17
05/12/15,18096.16,18119.18,17924.8,18068.23
05/13/15,18070.37,18132.79,18039.2,18060.49
05/14/15,18062.49,18255.21,18062.49,18252.24
05/15/15,18251.97,18272.72,18215.07,18272.56
